job_title,company,location,link,description
Care Guide - Healthcare Coordinator,Porter,"Pompano Beach, FL",https://jobs.lever.co/porter/62def011-7976-48ae-9f41-4c89f57bd0cf,"Care Guide 

Full Time
Hourly Rate: $22.83
Location: On-site, Pompano Beach, FL
 
About Porter
Porter is a fast-growing healthcare-technology and services company, built on the mission of simplifying and improving the care-at-home journey for patients and members. Leveraging advanced analytics, AI-driven tools, and a dedicated care-guide team, Porter delivers personalized care coordination, risk-adjustment support, and comprehensive member services — helping payers, providers, and members navigate complex care requirements with clarity and compassion. Porter stands at the forefront of care-coordination innovation, striving to deliver high-quality, efficient, and patient-centric support across the care continuum.
 
About the Role
The Care Guide acts as a personal resource to Porter members (customers, patients, caregivers) to assist with a wide variety of healthcare-related needs and helps them to be successful in navigating through their healthcare journey. Ideal candidates will have the experience, drive, and compassion to seek out opportunities to proactively identify needs and resources to meet those needs, help members to understand the complexities of our healthcare system, ensure that members are fully utilizing their insurance plan benefits, and reduce costs (e.g., locate cost-effective solutions, identify the most appropriate site of care, help prevent avoidable admissions/readmissions, etc.).  
Job responsibilities include, but are not limited to:  
·       Scheduling practitioner visits for in-home or health assessment  
·       Assist members with all aspects of the Porter relationship, account, products, and Porter's Member Platform 
·       Proactively identify the needs of members and provide personalized service  
·       Act as a comprehensive resource for assisting members with a broad range of healthcare questions and needs  
·       Identify and document Social Determinants of Health (SDOH) and assist with identification of community resources  
·       Facilitate communications to bridge between patients and appropriate clinical teams as needed  
·       Help identify and facilitate education resources to assist members in their self-care  
·       Interpret and articulate Health Plan benefits and coverage, and ensure that members are fully utilizing their benefits  
·       Be readily available to assist members via omnichannel resources (phone, email, chat)  
·       Manage & update customer CRM (Salesforce Service Cloud)  
·       Document relevant details about all patient/Caregiver interactions.  
·       Boost member satisfaction and loyalty by providing consistently excellent experience and striving to go above and beyond.  
·       Assist members with hospital discharges (when applicable):  
o   Coordinates and facilitates patient discharge planning in collaboration with other healthcare professionals.  
o   Collaborate with patients, caregiver(s), and healthcare team to facilitate a discharge process that enhances patient satisfaction and adherence to discharge orders, and ensures efficiency of time and resources involved in each patient discharge.  
o   Review case notes from Hospital providers to identify Durable Medical Equipment (DME) needs, schedule requested appointments, and/or facilitate other needs required to ensure optimal outcomes for patients post-discharge.  
o   Act as concierge to identify and facilitate DME procurement and follow-up appointment needs for patients  
 
What You'll Need 
 
Qualifications That Are Preferred
·      2-3 years of experience working in direct contact with patients in a healthcare setting  
·       Demonstrated ability to interpret and apply health insurance benefits  
·       A strong sense of empathy, compassion, and friendliness (extroverted and people-oriented)  
·       Drive to go above and beyond to ensure that members/patients/caregivers feel genuinely supported and valued during challenging times  
·       Exceptional communication skills, both written and oral, with the ability to assist others (customers and coworkers alike) with sincerity, respect, and compassion  
·       Strong time management and organizational skills to juggle meetings and various administrative requirements while keeping member needs at the forefront  
·       Must be an excellent listener, both to ensure that the member feels valued/respected and to identify any potential needs that the member may not be directly articulating  
·       Ability to work with team to cover on-call and holiday schedules as needed  
 
 
Qualifications That Are Required  
·       High School Diploma  
·       Ability to keep all company-sensitive documents and systems secure  

"
Care Guide Coordinator,Porter,"Pompano Beach, FL",https://jobs.lever.co/porter/194cfbf9-a467-449c-8837-1714117880b8,"Care Guide 
Hourly Rate: $22.83
Location: On-site, Pompano Beach, FL
 
About Porter
Porter is a fast-growing healthcare-technology and services company, built on the mission of simplifying and improving the care-at-home journey for patients and members. Leveraging advanced analytics, AI-driven tools, and a dedicated care-guide team, Porter delivers personalized care coordination, risk-adjustment support, and comprehensive member services — helping payers, providers, and members navigate complex care requirements with clarity and compassion. Porter stands at the forefront of care-coordination innovation, striving to deliver high-quality, efficient, and patient-centric support across the care continuum.
 
About the Role
The Care Guide acts as a personal resource to Porter members (customers, patients, caregivers) to assist with a wide variety of healthcare-related needs and helps them to be successful in navigating through their healthcare journey. Ideal candidates will have the experience, drive, and compassion to seek out opportunities to proactively identify needs and resources to meet those needs, help members to understand the complexities of our healthcare system, ensure that members are fully utilizing their insurance plan benefits, and reduce costs (e.g., locate cost-effective solutions, identify the most appropriate site of care, help prevent avoidable admissions/readmissions, etc.).  
Job responsibilities include, but are not limited to:  
·       Scheduling practitioner visits for in-home or health assessment  
·       Assist members with all aspects of the Porter relationship, account, products, and Porter's Member Platform 
·       Proactively identify the needs of members and provide personalized service  
·       Act as a comprehensive resource for assisting members with a broad range of healthcare questions and needs  
·       Identify and document Social Determinants of Health (SDOH) and assist with identification of community resources  
·       Facilitate communications to bridge between patients and appropriate clinical teams as needed  
·       Help identify and facilitate education resources to assist members in their self-care  
·       Interpret and articulate Health Plan benefits and coverage, and ensure that members are fully utilizing their benefits  
·       Be readily available to assist members via omnichannel resources (phone, email, chat)  
·       Manage & update customer CRM (Salesforce Service Cloud)  
·       Document relevant details about all patient/Caregiver interactions.  
·       Boost member satisfaction and loyalty by providing consistently excellent experience and striving to go above and beyond.  
·       Assist members with hospital discharges (when applicable):  
o   Coordinates and facilitates patient discharge planning in collaboration with other healthcare professionals.  
o   Collaborate with patients, caregiver(s), and healthcare team to facilitate a discharge process that enhances patient satisfaction and adherence to discharge orders, and ensures efficiency of time and resources involved in each patient discharge.  
o   Review case notes from Hospital providers to identify Durable Medical Equipment (DME) needs, schedule requested appointments, and/or facilitate other needs required to ensure optimal outcomes for patients post-discharge.  
o   Act as concierge to identify and facilitate DME procurement and follow-up appointment needs for patients  
 
What You'll Need 
 
Qualifications That Are Preferred
·       2-3 years of experience working in direct contact with patients in a healthcare setting  
·       Demonstrated ability to interpret and apply health insurance benefits  
·       A strong sense of empathy, compassion, and friendliness (extroverted and people-oriented)  
·       Drive to go above and beyond to ensure that members/patients/caregivers feel genuinely supported and valued during challenging times  
·       Exceptional communication skills, both written and oral, with the ability to assist others (customers and coworkers alike) with sincerity, respect, and compassion  
·       Strong time management and organizational skills to juggle meetings and various administrative requirements while keeping member needs at the forefront  
·       Must be an excellent listener, both to ensure that the member feels valued/respected and to identify any potential needs that the member may not be directly articulating  
·       Ability to work with team to cover on-call and holiday schedules as needed  
 
 
Qualifications That Are Required  
·       High School Diploma  
·       Ability to keep all company-sensitive documents and systems secure  

"
Practice Coordinator,Porter,"Pompano Beach, FL",https://jobs.lever.co/porter/d9905925-e50c-452a-893b-e4a73b07f13b,"Porter is hiring Practice Coordinators!

Who We Are

Porter is a Healthcare IT and Service Platform Startup combining the power of analytics with the power of are. Our dedicated team is committed to bringing transparency to healthcare driven by robust AI analytics, helping our members navigate the healthcare delivery system, securing the right support for each member’s specific needs, and directing Porter’s team of expert clinicians. By coordinating the complexities of each unique care journey, Porter helps close the gaps with the largest impact on quality measures, total cost of care, risk adjustment, and member experience. 


What You'll Do

The Practice Coordinator will handle managing all pre-visit activities associated with our in-home assessment and telehealth operations. This includes, but is not limited to: 
	- Reviewing all scheduled appointments. 
	- Preparing charts and necessary documentation. 
	- Making outbound calls to members to confirm appointments. 
	- Conducting the check-in process on the day of the assessment, including a comprehensive health risk assessment. 
	- Managing the schedules of Nurse Practitioners (NPs). 
	- Routing and completing all medical records. 
	- Ensuring NPs can complete 100% of their scheduled assessments. 
	- Ensuring NPs have the necessary equipment and supplies to complete their assessments and ordered labs/diagnostics.  
	- Owning the rescheduling process to ensure all members are seen promptly if an appointment needs to be rescheduled. 
	- Accountable for achieving established scheduling and completed assessment KPIs.  

On-site Office: Pompano Beach, FL

What You'll Need

Required Qualifications:
	- Provider Practice experience
	- Medical Office Management experience
	- Provider Management experience
	- Experience in Routing and Coordination
	- Knowledge of Medical Terminology
Preferred Qualifications:
	- 5 years of experience working in an outpatient role
Key Skills
	- Strong Organization and multitasking abilities
	- Excellent communication and interpersonal skills
	- Proficiency in medical record management and electronic health records (EHR) systems
	- Ability to manage schedules and coordination efficiently
	- Problem-solving skills to handle rescheduling and member coordination
	- Attention to detail and accuracy in documentation and record-keeping
	- Familiarity with healthcare regulations and compliance standards
"
AM/ Manager - Risk & Decision Science - Financial Services,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/7d9af9b5-c1c7-48ec-bbb5-9b25e49f6596,"About the Team

Would you like to be part of creating a unicorn within a unicorn? Solve some of the biggest challenges facing financial inclusion of Bharat? Well, then here’s your chance! Financial Services (FS) is one of the biggest new bets we are taking at Meesho on the next 10x horizon opportunity for us. Just as Ant Financial did for Alibaba, and Mercado Pago did for Mercado Libre, our vision is to build financial services for Meesho, becoming our key growth and revenue driver.  We have found our Product-Market Fit and built and proved 0-1 and 1-10 journeys, Now looking for someone who can be the founding member of 10-100-1000 journey and this is possibly one of the most exciting and enriching experiences one could consider in their career. 

As a Financial Services team, we always look at the bottom line. And the bottom line is - in this team, you should expect to have fun as you learn and grow.


About the Role

Lending is going to be our primary focus in this phase of our FS journey, and risk management is at the core of building any sustainable credit business at scale. Herein also lies potentially our biggest challenge for Meesho users: How do we assess risk of borrowers without any credit history? How can we leverage alternative information to better profile borrowers? How can we leverage our platform uniquely to create a sustained competitive advantage?  The Person will be responsible for driving the Policy, DS and analytics behind all these questions, from creating analytical frameworks, developing high quality analysis, driving insights and actions, and owning policy decisions. In the early phases, your role will focus on refining initially implemented policy by Analyzing and Designing credit policies using Meesho platform data, bureau data, alternate data. Creating Scorecards and models for approval. Designing experiments to test cohort behavior and experimental policies. Automate reporting and tracking of the portfolio on multiple levels , Ops performance measures, key performance indicators and associated drivers.
"
Analytics Manager,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/73ac38ff-d3ab-4dab-a40e-798af7b6fa1f,"About the Team

With almost 4 Lakh entrepreneurs aboard the Meesho app, we are all set to democratise internet commerce for everyone in India. Our primary responsibility, as the Business org, is to actively drive this mission from the frontlines.

As Manager - Business Analytics, you will play a huge role in driving growth across all categories. Our team holds end-to-end responsibility to launch and scale-up categories, by ensuring the right selection, competitive pricing, and conversion. Each category team has an SBM/BM and a group of ABMs, KAMs, and BD Executives. 

Within the business team, you'll closely work with the category marketing team and other category teams. Beyond this, you will also work closely with the Product, Supplier Growth, User Growth, and Fulfillment & Experience teams.  

We focus on personal growth and fun at work just as much as we do on working hard. That is why, we have regular 1-1s, monthly outings, and timely rewards and recognitions.

About the Role

If you love making impacts, working with data, creating solutions, and have a knack for finding ways to improve processes.

We are looking for a problem-solving, forward-thinking candidate for this role. As Manager - Business Analytics, you will be a leader who can build long-term visions. You will strategize and scale by empowering others in the team as they deliver results while working across other functions such as Product, Tech, and Fulfillment. 

You will also receive regular feedback on your work from the CEO and other C-level leaders.
"
Assistant Manager - CTO's Office,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/72aca601-f350-44a9-8548-6905634cf076,"About the Team

A lethal combination of innovative strategies and next-level implementations is the secret to Meesho’s phenomenal success. And our team is the strategy and implementation hub of Meesho’s tech team! Join us if you’re interested in shaping the direction of one of India’s fastest-growing unicorns and be the eyes and ears (and occasionally the brains) behind the decisions of the tech leadership.

As an Assistant Manager, Strategy & Ops (CTO’s Office) at Meesho, you will help define the technology vision and roadmap for the company and identify big bets and collaborate with different functions on critical initiatives. We are currently a team of 3 and growing - constantly tackling exciting challenges across multiple projects.

This team isn’t just about work – we believe in a work-life balance that brings out the best in our team. We strive to develop informal relationships within this small team. If tackling interesting challenges in a high-energy, fun environment sounds like something that will interest you, join us!

About the Role

As our Assistant Manager, you will focus on our biggest tech goals. You will drive cross-org initiatives with cross-functional teams including engineering, data science, product, and business to deliver key outcomes for the company. Additionally, you’ll get a seat at the table with senior leaders which will help you gain executive presence and thinking. An important aspect of the job would be bringing an “outside-in” perspective. Keeping track of dynamics in the market and movements of our peers, benchmarking for our performance, and identifying best practices we can learn from. 
"
Assistant Manager - Operations,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/55637b3b-56cc-4f12-a793-48f5cdfcb192,"About the Team

We at Meesho are democratising internet commerce for everyone in India. Our Business organisation drives this mission from the frontlines.As an Assistant Manager – Operations, you will be a core part of the team responsible for end-to-end execution of high-impact sales events (Monthly FSMS, MISS, Regional Sale & MBS), ensuring flawless delivery, performance, and continuous process improvement for user-side sale operations.

About the Role

As an Assistant Manager – Operations, you will own the planning, coordination, execution, and post-mortem analysis of Meesho’s user-side sale events (Promo Sales, Deals, Big Sale Days, etc.). You will anchor the operational rollout across teams, ensuring all stages of sale activation are error-free and efficient, and you will take initiative to improve processes to reduce manual dependency, increase speed, and enhance quality control.You will work closely with cross-functional teams — including Product, Tech, Marketing, Branding, Analytics, Pricing, Fulfillment & Experience — to ensure seamless sale execution. You will also coach and manage a small team of associates, drive governance, and regularly present progress to senior leadership.
"
Assistant Manager / Manager - University Relations,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/8c73b694-1c52-4108-8249-531234ca50b5,"
About the Team :

The recruiting team at Meesho hires top talent while delivering a great candidate experience. Talent advisory, branding, market positioning, sourcing, leveraging the most advanced recruiting tools are some of the things we do to deliver our key OKRs. Ethics, hard work, innovation, data-driven and customer centricity forms the foundation of this function. We are a great team to work with, ideate with and to have fun with.
 
About the Role :

Hiring top talent from universities is an important part of our talent strategy. This is a long term plan and it takes a significant amount of investment (all forms) to build the right brand, right relationships and to attract the right talent from universities. In this role you will lead our efforts in all these areas. You are an ideal candidate if you have a splendid balance of skills in talent acquisition, marketing, project management and customer success.

"
Assistant Manager- Corporate Legal,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/2e612672-12be-4383-b0a3-8d0cf9f29763,"About the Team   
As part of our legal and secretarial team, you'll play a crucial role in supporting the Company with your experience in secretarial matters, corporate governance, IPO readiness, M&A.. Bring your skills and passion to a collaborative environment and play a vital role in shaping the company's journey towards excellence.

Our team believes in working hard and partying harder. We organize team trivia nights, board game marathons, and other fun events to foster our team spirit 💥.

About the Role

We are looking for a sharp, business-minded legal professional to join our Legal Team as Assistant Manager - Legal. This is a high-impact role at the intersection of law, business, and strategy - shaping key transactions, driving compliance excellence, and enabling the company’s growth journey. You will work closely with leadership and cross-functional stakeholders, acting as both a legal advisor and a business enabler.

"
Assistant Manager/ Manager Partnership :  Financial Services,Meesho,"Bangalore, Karnataka",https://jobs.lever.co/meesho/07aebc52-6bc1-4a7a-9768-b6e8d68947ab,"About the team
Would you like to be part of creating a unicorn within a unicorn? Solve some of the biggest challenges facing the financial inclusion of Bharat? Well, then here’s your chance! Financial Services (FS) is one of the fastest growing new businesses at Meesho. It's a large 10X opportunity for Meesho to build financial products for Bharat users and serve the unmet needs of millions of our users. And you will be at the center of this journey, building and scaling the business and serving millions of Meesho users. Meesho FS has several lines of products primarily in lending space for users and sellers of Meesho.

We aspire to create one of the country’s largest financial services businesses, drawing inspiration from global giants such as Alibaba, Shopee, and Mercado Libre, who have thrived in markets comparable to India and built large financial businesses.

About the Role
In this role, you will build and manage lender partnerships with Banks and NBFCs to drive lending business for Meesho users and sellers. You will play a vital role in shaping the partnership strategy for FS, identifying and integrating suitable partners, facilitating co-lending arrangements for existing partners, driving policy and commercial alignments as well as managing the supply side roadmap. In addition, you will need to work closely with internal stakeholders like growth, credit risk, product & technology teams for implementation. 

"
